# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 23 03:48:28 2025
#
# COLUMN epic_id:        EPIC ID
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
rowid,epic_id,k2_name,pl_name
120,EPIC 210512842,K2-173 b,K2-173 b
121,EPIC 210558622,K2-174 b,K2-174 b
122,EPIC 210643811,K2-175 b,K2-175 b
123,EPIC 210667381,K2-176 b,K2-176 b
124,EPIC 210857328,K2-177 b,K2-177 b
125,EPIC 210965800,K2-178 b,K2-178 b
126,EPIC 211048999,K2-179 b,K2-179 b
127,EPIC 201912552,K2-18 b,K2-18 b
128,EPIC 201912552,K2-18 c,K2-18 c
129,EPIC 211319617,K2-180 b,K2-180 b
130,EPIC 211355342,K2-181 b,K2-181 b
131,EPIC 211359660,K2-182 b,K2-182 b
132,EPIC 211562654,K2-183 b,K2-183 b
133,EPIC 211562654,K2-183 c,K2-183 c
134,EPIC 211562654,K2-183 d,K2-183 d
135,EPIC 211594205,K2-184 b,K2-184 b
136,EPIC 211611158,K2-185 b,K2-185 b
137,EPIC 211611158,K2-185 c,K2-185 c
138,EPIC 211906650,K2-186 b,K2-186 b
139,EPIC 212157262,K2-187 b,K2-187 b
140,EPIC 212157262,K2-187 c,K2-187 c
141,EPIC 212157262,K2-187 d,K2-187 d
142,EPIC 212157262,K2-187 e,K2-187 e
143,EPIC 212164470,K2-188 b,K2-188 b
144,EPIC 212164470,K2-188 c,K2-188 c
145,EPIC 212394689,K2-189 b,K2-189 b
146,EPIC 212394689,K2-189 c,K2-189 c
147,EPIC 201505350,K2-19 b,K2-19 b
148,EPIC 201505350,K2-19 c,K2-19 c
149,EPIC 201505350,K2-19 d,K2-19 d
150,EPIC 212480208,K2-190 b,K2-190 b
151,EPIC 212480208,K2-190 c,K2-190 c
152,EPIC 212496592,K2-191 b,K2-191 b
153,EPIC 212555594,K2-192 b,K2-192 b
154,EPIC 212580872,K2-193 b,K2-193 b
155,EPIC 212672300,K2-194 b,K2-194 b
