# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 23 03:48:28 2025
#
# COLUMN epic_id:        EPIC ID
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
rowid,epic_id,k2_name,pl_name
522,EPIC 206101302,K2-63 b,K2-63 b
523,EPIC 206101302,K2-63 c,K2-63 c
524,EPIC 206125618,K2-64 b,K2-64 b
525,EPIC 206144956,K2-65 b,K2-65 b
526,EPIC 206153219,K2-66 b,K2-66 b
527,EPIC 206159027,K2-68 b,K2-68 b
528,EPIC 206162305,K2-69 b,K2-69 b
529,EPIC 201393098,K2-7 b,K2-7 b
530,EPIC 206181769,K2-70 b,K2-70 b
531,EPIC 206192813,K2-71 b,K2-71 b
532,EPIC 206209135,K2-72 b,K2-72 b
533,EPIC 206209135,K2-72 c,K2-72 c
534,EPIC 206209135,K2-72 d,K2-72 d
535,EPIC 206209135,K2-72 e,K2-72 e
536,EPIC 206245553,K2-73 b,K2-73 b
537,EPIC 206268299,K2-74 b,K2-74 b
538,EPIC 206348688,K2-75 b,K2-75 b
539,EPIC 206348688,K2-75 c,K2-75 c
540,EPIC 210363145,K2-77 b,K2-77 b
541,EPIC 210402237,K2-79 b,K2-79 b
542,EPIC 201445392,K2-8 b,K2-8 b
543,EPIC 201445392,K2-8 c,K2-8 c
544,EPIC 210403955,K2-80 b,K2-80 b
545,EPIC 210403955,K2-80 c,K2-80 c
546,EPIC 210403955,K2-80 d,K2-80 d
547,EPIC 210448987,K2-81 b,K2-81 b
548,EPIC 210508766,K2-83 b,K2-83 b
549,EPIC 210508766,K2-83 c,K2-83 c
550,EPIC 210577548,K2-84 b,K2-84 b
551,EPIC 210577548,K2-84 c,K2-84 c
552,EPIC 210707130,K2-85 b,K2-85 b
553,EPIC 210718708,K2-86 b,K2-86 b
554,EPIC 210731500,K2-87 b,K2-87 b
555,EPIC 210750726,K2-88 b,K2-88 b
556,EPIC 210838726,K2-89 b,K2-89 b
557,EPIC 201465501,K2-9 b,K2-9 b
558,EPIC 210968143,K2-90 b,K2-90 b
559,EPIC 210968143,K2-90 c,K2-90 c
560,EPIC 211077024,K2-91 b,K2-91 b
561,EPIC 211311380,K2-93 b,HIP 41378 b
562,EPIC 211311380,K2-93 c,HIP 41378 c
563,EPIC 211311380,K2-93 d,HIP 41378 d
564,EPIC 211311380,K2-93 e,HIP 41378 e
565,EPIC 211311380,K2-93 f,HIP 41378 f
566,EPIC 201862715,K2-94 b,WASP-85 A b
567,EPIC 211916756,K2-95 b,K2-95 b
568,EPIC 220383386,K2-96 b,HD 3167 b
569,EPIC 220383386,K2-96 c,HD 3167 c
570,EPIC 220383386,K2-96 d,HD 3167 d
571,EPIC 220383386,K2-96 e,HD 3167 e
572,EPIC 211351816,K2-97 b,K2-97 b
573,EPIC 211391664,K2-98 b,K2-98 b
574,EPIC 212803289,K2-99 b,K2-99 b
575,EPIC 212803289,K2-99 c,K2-99 c
